,Attention,Blink_Strength,Meditation,Time
0,0,0,0,1618908637.857213
1,0,0,0,1618908638.0877995
2,0,0,0,1618908638.0978146
3,0,0,0,1618908638.1087546
4,0,0,0,1618908638.1187193
5,0,0,0,1618908638.1276922
6,0,0,0,1618908638.1366682
7,0,0,0,1618908638.1446514
8,0,0,0,1618908638.1526248
9,0,0,0,1618908638.1616006
10,0,0,0,1618908638.171573
11,0,0,0,1618908638.2005088
12,0,0,0,1618908638.2244315
13,0,31,0,1618908638.2453756
14,0,0,0,1618908639.2562814
15,50,0,53,1618908639.2772238
16,50,32,53,1618908639.2891915
17,77,0,66,1618908640.3197262
18,94,0,70,1618908641.3416278
19,100,0,74,1618908642.3666325
20,100,0,63,1618908644.4307227
21,100,0,70,1618908645.495385
22,93,0,78,1618908646.5254352
23,83,0,96,1618908648.5845153
24,83,36,96,1618908650.595691
25,83,54,96,1618908653.614161
26,70,0,77,1618908656.6453302
27,63,0,51,1618908657.6929035
28,57,0,35,1618908657.7228506
29,60,0,47,1618908657.7537408
30,60,0,48,1618908657.7807016
31,61,0,57,1618908657.80261
32,53,0,50,1618908657.8255787
33,48,0,38,1618908657.8664382
34,48,42,38,1618908657.896357
35,51,0,21,1618908658.9196563
36,51,43,21,1618908658.9535675
37,56,0,23,1618908659.9865375
38,80,0,35,1618908660.5255063
